Timestamp,core,usr,sys,iowait,soft,idle
2025-03-23 02:06:30.673,4,45.36,13.40,12.37,0.00,28.87
2025-03-23 02:06:30.673,5,46.32,10.53,10.53,0.00,32.63
2025-03-23 02:06:30.673,6,49.50,10.89,9.90,0.00,29.70
2025-03-23 02:06:30.673,7,42.86,14.29,10.20,0.00,32.65
2025-03-23 02:06:30.673,8,22.68,16.49,50.52,2.06,8.25
2025-03-23 02:06:30.673,9,23.08,14.42,49.04,4.81,8.65
2025-03-23 02:06:30.673,10,19.15,17.02,53.19,1.06,9.57
2025-03-23 02:06:30.673,11,23.23,16.16,50.51,2.02,8.08
2025-03-23 02:06:30.673,12,23.33,12.22,55.56,0.00,8.89
2025-03-23 02:06:30.673,13,23.60,8.99,56.18,2.25,8.99
2025-03-23 02:06:30.673,14,24.44,13.33,53.33,0.00,8.89
2025-03-23 02:06:30.673,15,45.45,11.11,37.37,0.00,6.06
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,62.22,8.71,20.87,0.91,7.28
2025-03-23 02:06:30.673,0,64.21,9.47,12.63,0.00,13.68
2025-03-23 02:06:30.673,1,61.86,10.31,13.40,2.06,12.37
2025-03-23 02:06:30.673,2,66.67,7.84,11.76,0.98,12.75
2025-03-23 02:06:30.673,3,64.89,8.51,11.70,1.06,13.83
2025-03-23 02:06:30.673,4,67.35,6.12,13.27,2.04,11.22
2025-03-23 02:06:30.673,5,61.70,11.70,13.83,0.00,12.77
2025-03-23 02:06:30.673,6,62.64,8.79,14.29,0.00,14.29
2025-03-23 02:06:30.673,7,66.67,8.33,11.46,0.00,13.54
2025-03-23 02:06:30.673,8,60.61,8.08,28.28,2.02,1.01
2025-03-23 02:06:30.673,9,60.64,7.45,29.79,1.06,1.06
2025-03-23 02:06:30.673,10,57.84,9.80,30.39,0.98,0.98
2025-03-23 02:06:30.673,11,56.12,11.22,29.59,1.02,2.04
2025-03-23 02:06:30.673,12,58.24,7.69,30.77,1.10,2.20
2025-03-23 02:06:30.673,13,58.06,8.60,31.18,1.08,1.08
2025-03-23 02:06:30.673,14,58.51,8.51,30.85,0.00,2.13
2025-03-23 02:06:30.673,15,69.00,7.00,21.00,1.00,2.00
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,66.95,7.89,18.95,0.78,5.43
2025-03-23 02:06:30.673,0,69.70,8.08,12.12,1.01,9.09
2025-03-23 02:06:30.673,1,66.67,12.12,11.11,0.00,10.10
2025-03-23 02:06:30.673,2,68.09,9.57,11.70,0.00,10.64
2025-03-23 02:06:30.673,3,63.92,13.40,12.37,1.03,9.28
2025-03-23 02:06:30.673,4,67.68,8.08,13.13,1.01,10.10
2025-03-23 02:06:30.673,5,65.93,9.89,12.09,1.10,10.99
2025-03-23 02:06:30.673,6,69.07,10.31,10.31,0.00,10.31
2025-03-23 02:06:30.673,7,67.39,7.61,11.96,1.09,11.96
2025-03-23 02:06:30.673,8,65.35,6.93,25.74,0.99,0.99
2025-03-23 02:06:30.673,9,60.42,6.25,29.17,3.12,1.04
2025-03-23 02:06:30.673,10,66.67,5.38,26.88,0.00,1.08
2025-03-23 02:06:30.673,11,68.42,5.26,26.32,0.00,0.00
2025-03-23 02:06:30.673,12,64.21,7.37,27.37,1.05,0.00
2025-03-23 02:06:30.673,13,65.05,8.74,25.24,0.00,0.97
2025-03-23 02:06:30.673,14,68.00,5.00,26.00,1.00,0.00
2025-03-23 02:06:30.673,15,74.74,2.11,21.05,1.05,1.05
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,65.69,8.86,18.75,0.77,5.93
2025-03-23 02:06:30.673,0,64.36,14.85,10.89,0.00,9.90
2025-03-23 02:06:30.673,1,68.69,10.10,10.10,0.00,11.11
2025-03-23 02:06:30.673,2,67.65,10.78,10.78,0.00,10.78
2025-03-23 02:06:30.673,3,70.41,8.16,10.20,1.02,10.20
2025-03-23 02:06:30.673,4,64.58,12.50,11.46,1.04,10.42
2025-03-23 02:06:30.673,5,65.35,11.88,10.89,1.98,9.90
2025-03-23 02:06:30.673,6,70.00,8.00,11.00,0.00,11.00
2025-03-23 02:06:30.673,7,65.35,10.89,11.88,0.00,11.88
2025-03-23 02:06:30.673,8,63.16,6.32,28.42,1.05,1.05
2025-03-23 02:06:30.673,9,63.16,6.32,29.47,0.00,1.05
2025-03-23 02:06:30.673,10,61.86,8.25,26.80,2.06,1.03
2025-03-23 02:06:30.673,11,67.68,5.05,26.26,0.00,1.01
2025-03-23 02:06:30.673,12,63.04,5.43,29.35,1.09,1.09
2025-03-23 02:06:30.673,13,59.22,9.71,27.18,2.91,0.97
2025-03-23 02:06:30.673,14,66.32,6.32,26.32,0.00,1.05
2025-03-23 02:06:30.673,15,70.21,6.38,21.28,1.06,1.06
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,64.68,9.06,19.47,0.84,5.95
2025-03-23 02:06:30.673,0,68.09,9.57,10.64,1.06,10.64
2025-03-23 02:06:30.673,1,67.71,10.42,10.42,0.00,11.46
2025-03-23 02:06:30.673,2,65.00,12.00,11.00,1.00,11.00
2025-03-23 02:06:30.673,3,68.04,9.28,11.34,0.00,11.34
2025-03-23 02:06:30.673,4,64.36,10.89,11.88,1.98,10.89
2025-03-23 02:06:30.673,5,69.15,6.38,10.64,1.06,12.77
2025-03-23 02:06:30.673,6,69.39,7.14,11.22,1.02,11.22
2025-03-23 02:06:30.673,7,64.52,10.75,11.83,0.00,12.90
2025-03-23 02:06:30.673,8,58.16,12.24,28.57,1.02,0.00
2025-03-23 02:06:30.673,9,62.77,5.32,30.85,1.06,0.00
2025-03-23 02:06:30.673,10,60.42,8.33,29.17,1.04,1.04
2025-03-23 02:06:30.673,11,58.76,10.31,28.87,2.06,0.00
2025-03-23 02:06:30.673,12,61.22,9.18,28.57,0.00,1.02
2025-03-23 02:06:30.673,13,64.65,6.06,27.27,2.02,0.00
2025-03-23 02:06:30.673,14,63.92,8.25,27.84,0.00,0.00
2025-03-23 02:06:30.673,15,69.15,8.51,21.28,0.00,1.06
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,64.96,8.16,19.67,1.08,6.14
2025-03-23 02:06:30.673,0,64.36,12.87,10.89,0.99,10.89
2025-03-23 02:06:30.673,1,70.10,5.15,11.34,2.06,11.34
2025-03-23 02:06:30.673,2,69.31,6.93,10.89,1.98,10.89
2025-03-23 02:06:30.673,3,70.71,7.07,11.11,0.00,11.11
2025-03-23 02:06:30.673,4,70.41,5.10,11.22,1.02,12.24
2025-03-23 02:06:30.673,5,64.95,10.31,12.37,2.06,10.31
2025-03-23 02:06:30.673,6,69.23,8.65,10.58,0.00,11.54
2025-03-23 02:06:30.673,7,61.22,12.24,11.22,2.04,13.27
2025-03-23 02:06:30.673,8,62.50,4.17,30.21,2.08,1.04
2025-03-23 02:06:30.673,9,60.00,8.00,30.00,1.00,1.00
2025-03-23 02:06:30.673,10,59.00,9.00,30.00,2.00,0.00
2025-03-23 02:06:30.673,11,63.64,7.07,28.28,0.00,1.01
2025-03-23 02:06:30.673,12,59.79,9.28,29.90,1.03,0.00
2025-03-23 02:06:30.673,13,61.46,8.33,29.17,0.00,1.04
2025-03-23 02:06:30.673,14,61.39,8.91,27.72,0.99,0.99
2025-03-23 02:06:30.673,15,71.13,7.22,20.62,0.00,1.03
2025-03-23 02:06:30.673,CPU,%usr,%sys,%iowait,%soft,%idle
2025-03-23 02:06:30.673,all,66.22,8.62,18.63,0.82,5.70
2025-03-23 02:06:30.673,0,66.33,11.22,10.20,2.04,10.20
2025-03-23 02:06:30.673,1,73.00,6.00,11.00,0.00,10.00
2025-03-23 02:06:30.673,2,68.69,9.09,11.11,1.01,10.10
2025-03-23 02:06:30.673,3,68.63,8.82,9.80,0.98,11.76
2025-03-23 02:06:30.673,4,68.04,9.28,12.37,0.00,10.31
2025-03-23 02:06:30.673,5,67.01,9.28,10.31,2.06,11.34
2025-03-23 02:06:30.673,6,68.32,9.90,10.89,0.00,10.89
