Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2025-03-24 07:46:46.870,87281.00,1018.74,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85768.00,1001.70,0.21,11.96,1.00,0.00,0.00,4.00
2025-03-24 07:46:46.870,85839.00,1003.16,0.21,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85674.00,999.86,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86721.00,1012.21,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87793.00,1024.64,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87796.00,1024.28,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88438.00,1031.85,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87517.00,1021.35,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85740.00,1000.82,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85648.00,999.50,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85872.00,1002.80,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85413.00,997.61,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85374.00,996.41,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86889.00,1013.94,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85746.00,1001.18,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85846.00,1001.90,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88272.00,1030.71,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87168.00,1017.31,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85959.00,1003.80,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88378.00,1031.70,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86992.00,1015.49,0.20,11.95,8.00,0.09,0.00,11.00
2025-03-24 07:46:46.870,87548.00,1021.94,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88175.00,1029.98,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87867.00,1025.52,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87258.00,1017.88,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86890.00,1015.12,0.19,11.96,2.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,87071.00,1016.68,0.19,11.96,3.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,87395.00,1020.01,0.19,11.95,0.00,0.00,0.00,0.00
