timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses
1742802408276,2,QUEUE,808,1109393.41,980942.85,1041804.97,1046478.85,1097859.07,1109393.41,1111490.560,0,0,0,0,0,0,0,0
1742802408276,3,QUEUE,811,1113587.71,984612.86,1045592.79,1049100.29,1102053.38,1114636.29,1115684.860,0,0,0,0,0,0,0,0
1742802408276,4,QUEUE,812,1113587.71,984088.58,1045143.22,1049100.29,1102053.38,1113587.71,1114636.290,0,0,0,0,0,0,0,0
1742802408276,5,QUEUE,813,1116733.44,986710.02,1045358.14,1052246.01,1105199.10,1117782.01,1117782.010,0,0,0,0,0,0,0,0
1742802408276,6,QUEUE,813,1117782.01,988807.17,1052176.32,1053294.59,1106247.68,1117782.01,1118830.590,0,0,0,0,0,0,0,0
1742802408276,7,QUEUE,812,1119879.17,990380.03,1049804.54,1055391.74,1108344.83,1120927.74,1121976.320,0,0,0,0,0,0,0,0
1742802408409,0,READ,805,1080.32,0.02,137.97,112.25,308.22,467.45,762.37,515208592,-1717986919,340,60390,64515296,322122547,41,7561
1742802408409,1,READ,805,758.78,0.12,136.30,113.02,294.14,520.96,654.85,516198768,-1717986919,340,60509,64472648,322122547,44,7556
1742802408409,2,READ,807,665.60,0.10,152.12,121.28,326.65,531.46,637.44,517095048,-1717986919,340,60618,64702992,322122547,42,7588
1742802408409,3,READ,806,666.11,0.08,144.93,115.01,317.95,546.30,615.42,518068168,-1717986919,355,60733,64540856,322122547,42,7569
1742802408409,4,READ,807,679.93,0.43,147.13,116.73,326.14,546.30,668.67,519092488,-1717986919,355,60847,65001752,322122547,44,7619
1742802408409,5,READ,810,757.76,0.00,145.47,117.63,323.84,518.91,613.38,519980232,-1717986919,356,60951,64873712,322122547,44,7609
1742802408409,6,READ,810,647.17,0.01,143.49,119.81,312.57,489.21,592.38,520833832,-1717986919,356,61053,65198064,322122547,44,7641
1742802408409,7,READ,814,662.01,0.03,143.59,113.86,329.73,534.01,607.74,521747184,-1717986919,356,61162,65274888,322122547,42,7649
1742802408409,0,QUEUE,806,1247805.44,1117782.02,1184308.84,1184890.88,1237319.68,1248854.01,1248854.010,0,0,0,0,0,0,0,0
1742802408409,1,QUEUE,810,1239416.83,1110441.98,1174279.65,1176502.27,1228931.07,1240465.41,1241513.980,0,0,0,0,0,0,0,0
1742802408409,2,QUEUE,812,1240465.41,1110441.98,1172785.11,1175453.70,1228931.07,1241513.98,1241513.980,0,0,0,0,0,0,0,0
1742802408409,3,QUEUE,813,1244659.71,1114636.29,1177432.42,1180696.57,1233125.38,1244659.71,1246756.860,0,0,0,0,0,0,0,0
